Time (s),Fluorescence Intensity (a.u.)
0.0,2.5158609825102882
0.3209986686706543,2.5155240483539094
0.4721393585205078,2.51686021090535
0.6368169784545898,2.515637217078189
0.7800891399383545,2.515869341563786
0.927365779876709,2.517605452674897
1.0660452842712402,2.5187551440329217
1.211005449295044,2.5168145576131686
1.3558111190795898,2.514557613168724
1.4978365898132324,2.516448688271605
1.641183614730835,2.516385673868313
1.7842917442321777,2.5169868827160493
1.9314641952514648,2.5172672325102883
2.073596477508545,2.5168518518518517
2.2147605419158936,2.5158056841563785
2.365288734436035,2.514773019547325
2.509643077850342,2.5169412294238684
2.6744863986968994,2.5163310185185184
2.8183512687683105,2.5159471450617286
2.9607667922973633,2.5175385802469137
3.1070945262908936,2.5167605452674895
3.2502896785736084,2.517676183127572
3.393254041671753,2.516658950617284
3.5384278297424316,2.5154327417695472
3.681218385696411,2.515958076131687
3.824592113494873,2.515334362139918
4.058217763900757,2.5161439043209874
4.213396310806274,2.518371270576132
4.403775691986084,2.516202417695473
4.571927785873413,2.5180118312757203
4.7430338859558105,2.51532728909465
4.915272951126099,2.5159272119341565
5.090787172317505,2.516979809670782
5.262373685836792,2.5175398662551443
5.433452606201172,2.5163766718106997
5.6111533641815186,2.51688850308642
5.779524564743042,2.5165213477366257
5.950954914093018,2.5163226594650205
6.12329888343811,2.5160243055555553
6.29620361328125,2.5167457561728397
6.466989517211914,2.5165136316872427
6.640368938446045,2.516678240740741
6.813249111175537,2.514942772633745
6.984737396240234,2.5154070216049385
7.157527923583984,2.51522762345679
7.339166879653931,2.51842271090535
7.531292915344238,2.517309027777778
7.703889846801758,2.516704603909465
7.877901077270508,2.5151781121399175
8.048112392425537,2.517275591563786
8.220707893371582,2.51636445473251
8.391210794448853,2.5158224022633746
8.56356406211853,2.515936856995885
8.738377571105957,2.518308899176955
8.910766363143921,2.5145839763374487
9.085222244262695,2.5167200360082305
9.254912614822388,2.5139699074074073
9.427104949951172,2.5152572016460906
9.601157665252686,2.5142316100823043
9.77227783203125,2.5160249485596706
9.945260524749756,2.5155613425925925
10.11655044555664,2.5160468106995886
10.290083408355713,2.514989068930041
10.461970090866089,2.5165978652263377
10.632818460464478,2.5146939300411524
10.817138195037842,2.514892618312757
11.007271528244019,2.513766718106996
11.17969799041748,2.5145531121399176
11.351673126220703,2.514385931069959
11.524441480636597,2.5145042438271603
11.69914197921753,2.5136207561728394
11.869301795959473,2.514821244855967
12.042571067810059,2.514892618312757
12.214809656143188,2.5154809670781892
12.387653827667236,2.5138117283950616
12.572683811187744,2.5126858281893005
12.761168003082275,2.5130073302469134
12.932466983795166,2.5152887088477365
13.105889558792114,2.5136805555555557
13.276921510696411,2.5121945730452673
13.451801538467407,2.511381815843621
13.624989748001099,2.510883487654321
13.798325777053833,2.5112917952674896
13.99931263923645,2.511579218106996
14.199177026748657,2.512944958847737
14.372872114181519,2.5116448045267488
14.58132028579712,2.5156770833333333
14.772923231124878,2.5155439814814815
14.945489645004272,2.5145498971193416
15.119155645370483,2.516026234567901
15.319117069244385,2.516343878600823
15.493469476699829,2.513274819958848
15.694140195846558,2.515817901234568
15.898098468780518,2.5167753343621397
16.094499588012695,2.5137847222222223
16.269795894622803,2.5136072530864197
16.470094442367554,2.513730066872428
16.68127989768982,2.5120209619341565
16.871126413345337,2.51144933127572
17.073249578475952,2.511821630658436
17.272801160812378,2.513414994855967
17.44572424888611,2.5110757458847734
17.64582324028015,2.5116010802469138
17.818848133087158,2.5122427983539093
18.019559144973755,2.511800411522634
18.194143772125244,2.513503086419753
18.39340877532959,2.5138046553497944
18.594141483306885,2.5135943930041154
18.77608561515808,2.513343621399177
18.969221115112305,2.512886445473251
19.16922116279602,2.5151215277777776
19.3715660572052,2.5151234567901235
19.572011947631836,2.515869341563786
19.772454261779785,2.515323431069959
19.973153114318848,2.5149954989711936
20.146733045578003,2.515991512345679
20.348429203033447,2.5162082047325103
20.549739837646484,2.5167489711934157
20.746686697006226,2.5137191358024693
20.926822662353516,2.516213348765432
21.122702836990356,2.517715406378601
21.32098126411438,2.5172460133744856
21.49411940574646,2.5166576646090535
21.66796350479126,2.5171939300411523
21.870650053024292,2.517539223251029
22.06810736656189,2.5158558384773664
22.242881059646606,2.5137352109053497
22.443203687667847,2.5162686471193414
22.6153666973114,2.516778549382716
22.797033548355103,2.5157253086419753
22.988247394561768,2.5171926440329218
23.158649444580078,2.5166737397119343
23.332786798477173,2.516019161522634
23.505382776260376,2.5146604938271606
23.68142032623291,2.5172280092592594
23.879069089889526,2.5175636574074076
24.052818775177002,2.5156455761316874
24.25126075744629,2.514675282921811
24.427316427230835,2.517130272633745
24.62714910507202,2.5161625514403294
24.83582043647766,2.515835262345679
25.02774453163147,2.5163509516460905
25.200627088546753,2.515945859053498
25.37516736984253,2.514908693415638
25.576196432113647,2.515945859053498
25.774749279022217,2.5168274176954735
25.9486985206604,2.5157716049382715
26.153196096420288,2.5158847736625516
26.3508141040802,2.5160378086419755
26.551473140716553,2.516346450617284
26.752030849456787,2.5168936471193417
26.959879636764526,2.516316229423868
27.153788328170776,2.5168055555555555
27.325894832611084,2.5164525462962963
27.498892784118652,2.5156275720164607
27.69938349723816,2.517221579218107
27.87188458442688,2.516886574074074
28.04500126838684,2.5164956275720165
28.24446415901184,2.5186201131687245
28.41833996772766,2.516074459876543
28.61778688430786,2.515968364197531
28.79124903678894,2.5150861625514405
28.993131160736084,2.517510931069959
29.19442057609558,2.5189898405349793
29.395076036453247,2.5174112654320986
29.595921277999878,2.516347093621399
29.794934511184692,2.5174112654320986
29.969741344451904,2.5169843106995886
30.169775247573853,2.5165168467078187
30.34488534927368,2.5156462191358027
30.545163869857788,2.5185950360082305
30.745744705200195,2.518800797325103
30.94564723968506,2.516678883744856
31.12039852142334,2.5200636574074076
31.317160844802856,2.5173045267489713
31.48899817466736,2.516644161522634
31.662315368652344,2.5171527777777776
