Time (s),Fluorescence Intensity (a.u.),Frequency (KHz)
0.0,2.630868698559671,2860000
0.41823291778564453,2.6274369855967077,2860100
0.6085319519042969,2.628445859053498,2860200
0.7735567092895508,2.630851980452675,2860300
0.9368431568145752,2.631187628600823,2860400
1.1042873859405518,2.628573173868313,2860500
1.2680542469024658,2.6314731224279835,2860600
1.4370601177215576,2.6308262602880657,2860700
1.6033704280853271,2.6256526491769545,2860800
1.7687296867370605,2.6275900205761316,2860900
1.9311139583587646,2.6271199845679014,2861000
2.1006598472595215,2.628956404320988,2861100
2.2652761936187744,2.6257452417695473,2861200
2.4329612255096436,2.6293987911522634,2861300
2.5996460914611816,2.628528806584362,2861400
2.7677581310272217,2.6292541152263373,2861500
2.9334354400634766,2.6305144032921812,2861600
3.1023943424224854,2.6286934156378603,2861700
3.268045663833618,2.6305221193415638,2861800
3.43353533744812,2.6277912808641974,2861900
3.5995543003082275,2.6270441100823043,2862000
3.7676191329956055,2.6272035751028806,2862100
3.9314143657684326,2.627295524691358,2862200
4.098434925079346,2.629749228395062,2862300
4.2638959884643555,2.6290232767489714,2862400
4.432672500610352,2.6285847479423867,2862500
4.597532749176025,2.6302263374485597,2862600
4.76521110534668,2.6274029063786006,2862700
4.932570695877075,2.628483796296296,2862800
5.099269151687622,2.630798611111111,2862900
5.266906499862671,2.6282902520576132,2863000
5.432475328445435,2.627411908436214,2863100
5.5987935066223145,2.629873971193416,2863200
5.766885042190552,2.6290997942386833,2863300
5.934754848480225,2.6292277520576133,2863400
6.102207660675049,2.6292091049382718,2863500
6.266880035400391,2.6281430041152265,2863600
6.4336326122283936,2.6301530349794238,2863700
6.6102294921875,2.62816679526749,2863800
6.810980558395386,2.627965534979424,2863900
7.024514675140381,2.6269720936213994,2864000
7.246368646621704,2.6278054269547324,2864100
7.463698863983154,2.6279443158436213,2864200
7.6846349239349365,2.626014017489712,2864300
7.907661199569702,2.628386059670782,2864400
8.12982439994812,2.6296656378600822,2864500
8.351644039154053,2.625718235596708,2864600
8.571587324142456,2.6257484567901233,2864700
8.797413349151611,2.6247833076131686,2864800
9.01820158958435,2.6265830761316873,2864900
9.239942073822021,2.626226208847737,2865000
9.46077013015747,2.626432613168724,2865100
9.685380220413208,2.6258706275720165,2865200
9.90565824508667,2.62740033436214,2865300
10.128930568695068,2.627380401234568,2865400
10.352739095687866,2.6265297067901234,2865500
10.574770212173462,2.628029192386831,2865600
10.796462297439575,2.627477494855967,2865700
11.018455982208252,2.6256918724279834,2865800
11.238419771194458,2.627051183127572,2865900
11.461439609527588,2.624868184156379,2866000
11.68400764465332,2.6249961419753087,2866100
11.906633853912354,2.6264422582304525,2866200
12.12797474861145,2.6266345164609053,2866300
12.351882696151733,2.62610853909465,2866400
12.575741291046143,2.62365033436214,2866500
12.794568300247192,2.624176311728395,2866600
13.019378423690796,2.6258474794238684,2866700
13.23890233039856,2.6270235339506174,2866800
13.462101697921753,2.6266235853909463,2866900
13.685558795928955,2.6250096450617284,2867000
13.906096458435059,2.6240412808641977,2867100
14.128472328186035,2.6256378600823047,2867200
14.354276657104492,2.62636316872428,2867300
14.572757244110107,2.628070987654321,2867400
14.795607566833496,2.626322016460905,2867500
15.018234968185425,2.6258757716049383,2867600
15.239953994750977,2.628579603909465,2867700
15.462525129318237,2.629266975308642,2867800
15.686901330947876,2.628829732510288,2867900
15.906760454177856,2.629289480452675,2868000
16.12874150276184,2.6283995627572017,2868100
16.351562976837158,2.6290020576131687,2868200
16.57134485244751,2.6269470164609054,2868300
16.79375410079956,2.624960776748971,2868400
17.01557683944702,2.627391975308642,2868500
17.255975484848022,2.628991769547325,2868600
17.460198402404785,2.6293190586419755,2868700
17.68383264541626,2.6283243312757203,2868800
17.90475106239319,2.629187885802469,2868900
18.12747621536255,2.6288445216049383,2869000
18.348966360092163,2.630164609053498,2869100
18.571284532546997,2.63123521090535,2869200
18.79434108734131,2.631363811728395,2869300
19.016499042510986,2.629528677983539,2869400
19.238205671310425,2.628645833333333,2869500
19.458667516708374,2.628863811728395,2869600
19.685370445251465,2.6304700360082305,2869700
19.905069589614868,2.629974279835391,2869800
20.126879930496216,2.630931712962963,2869900
20.348562717437744,2.6306269290123456,2870000
20.572466135025024,2.630800540123457,2870100
20.792567253112793,2.633942258230453,2870200
21.012611150741577,2.630619212962963,2870300
21.23516869544983,2.629726080246914,2870400
21.456966400146484,2.6299279835390945,2870500
21.679843425750732,2.6300778034979424,2870600
21.90437889099121,2.628832947530864,2870700
22.123948574066162,2.6296482767489713,2870800
22.345134735107422,2.630009002057613,2870900
22.612927436828613,2.6266782407407407,2871000
22.790072917938232,2.628122427983539,2871100
23.012792587280273,2.6290033436213993,2871200
23.235684871673584,2.6269933127572016,2871300
23.45594811439514,2.6270486111111113,2871400
23.681225776672363,2.628119855967078,2871500
23.902493238449097,2.6268274176954733,2871600
24.12356686592102,2.6299241255144032,2871700
24.347461938858032,2.6346013374485597,2871800
24.570960998535156,2.635193544238683,2871900
24.79326558113098,2.635073945473251,2872000
25.033593893051147,2.6356661522633744,2872100
25.239253520965576,2.6359375,2872200
25.4614679813385,2.638668338477366,2872300
25.681755542755127,2.6392740483539097,2872400
25.905472993850708,2.6380754886831275,2872500
26.083662033081055,2.6396669238683126,2872600
26.300506353378296,2.639284336419753,2872700
26.49266028404236,2.6396688528806584,2872800
26.65150475502014,2.6361529063786007,2872900
