Timestamp,Fluorescence Intensity (a.u.)
2024-06-20 13:27:56,2.635742026748971
2024-06-20 13:27:57,2.6334021347736627
2024-06-20 13:27:57,2.632917952674897
2024-06-20 13:27:57,2.633307613168724
2024-06-20 13:27:57,2.633206661522634
2024-06-20 13:27:57,2.632136702674897
2024-06-20 13:27:58,2.6320222479423867
2024-06-20 13:27:58,2.6323450360082306
2024-06-20 13:27:58,2.63338091563786
2024-06-20 13:27:58,2.633170653292181
2024-06-20 13:27:58,2.6318479938271606
2024-06-20 13:27:58,2.631541923868313
2024-06-20 13:27:59,2.63132137345679
2024-06-20 13:27:59,2.6317618312757203
2024-06-20 13:27:59,2.6323257458847737
2024-06-20 13:27:59,2.6312435699588477
2024-06-20 13:27:59,2.6304681069958846
2024-06-20 13:28:00,2.63194637345679
2024-06-20 13:28:00,2.632281378600823
2024-06-20 13:28:00,2.6313792438271606
2024-06-20 13:28:00,2.6321611368312756
2024-06-20 13:28:00,2.6374266975308642
2024-06-20 13:28:01,2.6354224537037036
2024-06-20 13:28:01,2.632835648148148
2024-06-20 13:28:01,2.6352977109053497
2024-06-20 13:28:01,2.6345093878600823
2024-06-20 13:28:01,2.632762345679012
2024-06-20 13:28:01,2.6316068672839505
2024-06-20 13:28:02,2.632409336419753
2024-06-20 13:28:02,2.631784336419753
2024-06-20 13:28:02,2.6310667438271604
2024-06-20 13:28:02,2.6323161008230453
2024-06-20 13:28:02,2.629809670781893
2024-06-20 13:28:02,2.6285185185185185
2024-06-20 13:28:03,2.632042824074074
2024-06-20 13:28:03,2.6296412037037036
2024-06-20 13:28:03,2.6313850308641977
2024-06-20 13:28:03,2.633096064814815
2024-06-20 13:28:03,2.6322852366255143
2024-06-20 13:28:03,2.6311651234567903
2024-06-20 13:28:04,2.6292901234567903
2024-06-20 13:28:04,2.6327906378600825
2024-06-20 13:28:04,2.632753343621399
2024-06-20 13:28:04,2.632480709876543
2024-06-20 13:28:04,2.6320363940329217
2024-06-20 13:28:04,2.6326948302469138
2024-06-20 13:28:05,2.634093364197531
2024-06-20 13:28:05,2.634326774691358
2024-06-20 13:28:05,2.6339872685185184
2024-06-20 13:28:05,2.634477237654321
2024-06-20 13:28:05,2.6320081018518517
2024-06-20 13:28:06,2.633888888888889
2024-06-20 13:28:06,2.634483667695473
2024-06-20 13:28:06,2.6327199074074072
2024-06-20 13:28:06,2.6343987911522633
2024-06-20 13:28:06,2.6354732510288064
